eclipse/capella-textual-editor	This addon allows to edit Capella Scenario within a textual editor	public	2022-08-16T14:15:16Z
eclipse/paho.mqtt.javascript	paho.mqtt.javascript	public	2022-08-15T01:34:34Z
eclipse/emf-query		public	2022-08-14T18:20:23Z
eclipse/kitalpha-addons		public	2022-08-05T12:53:38Z
eclipse/sommr-website	Automotive sommr project website.	public	2022-07-08T13:30:37Z
eclipse/sommr	Automotive sommr project	public	2022-07-08T13:28:59Z
eclipse/adaaa	Adaptive Cruise Control Demo Application for Adaptive AUTOSAR	public	2022-06-21T15:34:09Z
eclipse/lyo.docs	Lyo project repository (lyo.docs)	public	2022-05-17T17:23:09Z
eclipse/lyo.ldp	lyo.ldp	public, archived	2022-05-09T22:03:52Z
eclipse/smartmdsd	Smartmdsd project	public	2022-04-04T08:50:42Z
eclipse/iottestware.fuzzing		public	2022-03-29T22:02:59Z
eclipse/january	January project	public	2022-02-25T12:43:30Z
eclipse/lyo.rio	Lyo project repository (lyo.rio)	public, archived	2022-02-15T15:00:09Z
eclipse/gemoc-studio-extras		public	2022-02-07T13:32:29Z
eclipse/kiso-testing-vscode		public	2022-01-31T14:03:05Z
eclipse/org.eclipse.sensinact.studio		public	2022-01-28T16:20:36Z
eclipse/org.eclipse.sensinact.studioweb		public	2021-11-30T20:23:37Z
eclipse/org.eclipse.sensinact		public	2021-11-30T20:20:48Z
eclipse/lyo.validation	lyo validation	public, archived	2021-09-20T20:33:28Z
eclipse/lyo.core	Lyo project repository (lyo.core)	public, archived	2021-09-20T20:33:23Z
eclipse/iottestware		public	2021-09-15T08:08:53Z
eclipse/orion.server	The Orion Java Server, "Your IDE in the Cloud"	public	2021-09-07T19:10:53Z
eclipse/mita	mita	public	2021-08-25T04:52:52Z
eclipse/lyo.trs-server		public, archived	2021-08-21T21:18:02Z
eclipse/lyo.server	Lyo project repository (lyo.server)	public, archived	2021-08-21T20:58:02Z
eclipse/lyo.trs-client		public, archived	2021-08-21T20:51:24Z
eclipse/dirigible-samples		public	2021-08-19T13:06:09Z
eclipse/org.eclipse.emf.diffmerge.patch	DEPRECATED/ARCHIVED	public	2021-08-09T11:51:44Z
eclipse/hawkbit-clients-golang	Golang Client SDK for the Eclipse hawkBit Project	public	2021-07-20T15:00:17Z
eclipse/keyple-ops	Eclipse Keyple™ Project: Ops settings	public	2021-07-01T23:01:58Z
eclipse/lyo.store	lyo-store	public, archived	2021-06-04T03:03:36Z
eclipse/lyo.client	Lyo project repository (lyo.client)	public, archived	2021-05-17T19:24:29Z
eclipse/dash-website	Project Dash is a place where the community itself can collaborate on tools for community awareness and collaboration in support of our ultimate objective of committer quality and cooperation. This is very much a research project as we are not entirely sure what these tools will be.	public, archived	2021-04-27T18:21:56Z
eclipse/vorto-examples	Contains example code leveraging Vorto information models	public	2021-03-22T08:27:08Z
eclipse/scanning	Scanning is an open source project for moving scientific instruments and writing NeXus (http://www.nexusformat.org/) compliant files. It is designed to be control system neutral, EPICS, TANGO etc. may be used. See https://projects.eclipse.org/proposals/scanning and https://github.com/eclipse/scanning/blob/master/GETTINGSTARTED.pdf	public	2021-02-08T15:32:50Z
eclipse/capella-addons	~Unused repository~	public	2021-01-12T15:58:25Z
eclipse/iottestware.mqtt	iottestware.mqtt	public	2021-01-06T15:22:47Z
eclipse/lyo.domains	POJOs that implement resources in OSLC domains	public, archived	2020-12-15T08:35:44Z
eclipse/org.eclipse.riena	org.eclipse.riena	public	2020-08-25T13:37:52Z
eclipse/org.eclipse.riena.3xtargets	org.eclipse.riena.3xtargets	public	2020-08-25T13:37:27Z
eclipse/rdf4j-doc	RDF4J Documentation	public, archived	2020-07-26T05:17:42Z
eclipse/capella-xmlpivot		public	2020-07-09T07:58:04Z
eclipse/cft		public	2020-04-27T18:38:57Z
